id;spec;job_title;city;employer;schedule;experience;published;salary_from;salary_to;currency;skills
76401163;Финансовый аналитик;Финансовый аналитик;Тверь;Проектный Институт Тверьжилкоммунпроект;;;2023-03-24;50000;;RUR;работа с большим объемом информации, аналитическое мышление, сводные таблицы, анализ данных, анализ финансовых показателей, анализ текущих финансовых показателей, план-фактный анализ бюджета, навыки статистической обработки данных
77131530;Финансовый аналитик;Финансовый аналитик (г. Владимир);Тверь;Abi;;;2023-03-15;;;;факторный анализ, анализ себестоимости, планирование, экономический анализ
78026889;Финансовый аналитик;Начальник отдела финансового анализа;Тверь;Abi;;;2023-03-14;;;;работа в команде, анализ продаж, работа в условиях многозадачности
78392304;Финансовый аналитик;Финансист / Финансовый аналитик;Ярославль;ЯрТЭС инжиниринг;;;2023-03-22;;;;финансовый контроль, грамотность, высшее образование, экономический анализ, управленческая отчетность, формирование управленческой отчетности, финансовый анализ, сбис
77131531;Финансовый аналитик;Финансовый аналитик (г. Владимир);Ярославль;Abi;;;2023-03-15;;;;факторный анализ, анализ себестоимости, планирование, экономический анализ
78560300;Финансовый аналитик;Ведущий бухгалтер/Заместитель главного бухгалтера по управленческому учету/Финансовый аналитик;Ярославль;Мир бега;;;2023-04-05;58000;;RUR;анализ финансовых показателей, финансовый анализ, финансовая отчетность, бюджетирование, экономический анализ, управленческая отчетность, финансовое планирование, бухгалтерский учет, бизнес-планирование, управленческий учет
78025691;Финансовый аналитик;Начальник отдела финансового анализа;Ярославль;Abi;;;2023-03-14;;;;работа в команде, анализ продаж, работа в условиях многозадачности
70036907;Финансовый аналитик;Финансовый менеджер-аналитик;Оренбург;Gefest Capital;;;2023-03-27;;;;финансовый анализ, анализ текущих финансовых показателей, ms powerpoint, финансовая отчетность, управленческая отчетность
78897374;Финансовый аналитик;Финансовый аналитик (инвестиционные проекты);Пенза;Строительный холдинг Термодом;;;2023-04-04;50000;70000;RUR;анализ инвестиционных проектов, анализ себестоимости, строительство, оценка инвестиционных проектов, составление сметно-проектной документации, финансовый анализ, дебиторская задолженность, анализ текущих финансовых показателей, контроль и анализ ценообразования, план-фактный анализ бюджета
78415342;Финансовый аналитик;"Стажёр по направлению ""Финансовый анализ"" от SBERSEASONS";Саранск;СБЕР;;;2023-03-22;;34500;RUR;анализ финансово-хозяйственной деятельности предприятия, кредитные договоры
78881328;Финансовый аналитик;Финансовый аналитик;Тольятти;Ломбард Пионер;;;2023-04-04;;;;финансовый анализ, план-фактный анализ бюджета, анализ текущих финансовых показателей, внутренний финансовый аудит, анализ данных
78150038;Финансовый аналитик;Младший финансовый аналитик (удаленно);Тольятти;Моё дело;;;2023-03-29;40000;;RUR;обучение и развитие, деловая переписка, бухгалтерский учет, финансовая отчетность, работа с большим объемом информации
77860080;Финансовый аналитик;Финансовый контролёр, аналитик данных;Саратов;Приволжский филиал ФГБУ Саратовмелиоводхоз;;;2023-03-10;40000;;RUR;организация и контроль фхд, бюджет
77860079;Финансовый аналитик;Финансовый контролёр, аналитик данных;Маркс;Приволжский филиал ФГБУ Саратовмелиоводхоз;;;2023-03-10;40000;;RUR;организация и контроль фхд, бюджет
77860081;Финансовый аналитик;Финансовый контролёр, аналитик данных;Энгельс;Приволжский филиал ФГБУ Саратовмелиоводхоз;;;2023-03-10;40000;;RUR;организация и контроль фхд, бюджет
73564710;Финансовый аналитик;Финансовый аналитик;Саратов;Группа компаний Корона;;;2023-03-24;;;;финансовый анализ, ms powerpoint, ms outlook, работа с большим объемом информации, маркетинговый анализ
78332281;Финансовый аналитик;Финансовый аналитик;Саратов;Рест;;;2023-03-21;35000;;RUR;план-фактный анализ бюджета, анализ текущих финансовых показателей, финансовая отчетность, опи у, управленческая отчетность, 1с: предприятие 8, ддс
78795027;Финансовый аналитик;Финансовый аналитик/менеджер в г. Сухум (Абхазия);Ульяновск;Салоны мебели и интерьера Домино;;;2023-04-01;70000;110000;RUR;
78712348;Финансовый аналитик;Финансовый аналитик;Ульяновск;АВТОРАЙ;;;2023-03-31;;;;
78010989;Финансовый аналитик;Аналитик службы финансового мониторинга;Ульяновск;Быстроденьги;;;2023-03-14;;46200;RUR;
78894210;Финансовый аналитик;Финансовый аналитик/Экономист;Пермь;ЭР-Телеком;;;2023-04-04;;;;экономический анализ, анализ финансовых показателей, excel, аналитические исследования
77848136;Финансовый аналитик;Финансовый аналитик;Пермь;ПАИЖК;;;2023-04-05;;;;
77528883;Финансовый аналитик;Финансовый аналитик;Пермь;ЮТИП Технологии;;;2023-04-03;40000;;RUR;работа с большим объемом информации, написание аналитических текстов, сбор и анализ информации
78121868;Финансовый аналитик;Финансовый аналитик;Пермь;Корпорация развития Пермского края;;;2023-03-16;;;;финансовое моделирование, оценка инвестиционных проектов, анализ инвестиционных проектов, финансовый анализ, инвестиционный анализ
78061774;Финансовый аналитик;Финансовый аналитик;Уфа;Вэй Пак;;;2023-04-06;70000;100000;RUR;
78730701;Финансовый аналитик;Финансовый аналитик;Уфа;Уфимский завод эластомерных материалов, изделий и конструкций;;;2023-03-30;120000;;RUR;английский язык, умение работать в условиях многозадачности, проведение маркетинговых исследований, готовность к командировкам, анализ текущей ситуации, внимательность, ответственность
76751204;Финансовый аналитик;Финансовый аналитик (Специалист экономического отдела);Уфа;Компания Метта;;;2023-04-03;50000;;RUR;
78080839;Финансовый аналитик;Финансовый аналитик;Туймазы;Группа компаний «Megaflex»;;;2023-04-03;30000;;RUR;
78080838;Финансовый аналитик;Финансовый аналитик;Октябрьский (Республика Башкортостан);Группа компаний «Megaflex»;;;2023-04-06;30000;;RUR;
77433712;Финансовый аналитик;Финансовый аналитик;Уфа;Kronospan (Кроношпан);;;2023-03-20;;;;
79014313;Финансовый аналитик;Финансовый директор / аналитик;Стерлитамак;Администрация МО Стерлитамакский район Республики Башкортостан;;;2023-04-06;80000;100000;RUR;точность и внимательность к деталям, умение проявлять внимание, заинтересованность, дружелюбие, работа в условиях многозадачности, навыки обслуживания людей, умение проявлять тактичность и толерантность, уверенное пользование пк, знание программ ms office
78582388;Финансовый аналитик;Финансовый аналитик;Екатеринбург;Ранкс;;;2023-04-05;50000;100000;RUR;финансовый анализ, ms excel, опыт в инвестиционной оценке, bloomberg, reuters, factset, capitaliq, фундаментальный анализ, инвестиции, фондовый рынок
78461266;Финансовый аналитик;Экономист- финансовый аналитик;Екатеринбург;Логист-ЕКБ;;;2023-04-04;70000;;RUR;анализ финансовой отчетности, уверенный пользователь пк, знание 1 с, разработка планирования, ответственность, коммуникабельность
76868531;Финансовый аналитик;Финансовый аналитик;Екатеринбург;Холдинг «Аэропорты Регионов»;;;2023-04-04;;;;
76452352;Финансовый аналитик;Финансовый Аналитик / Специалист по финансовой отчетности;Екатеринбург;Marlerino Group;;;2023-04-01;80000;150000;RUR;работа с большим объемом информации, финансовая отчетность, анализ финансовых показателей, google docs, google таблицы, анализ текущих финансовых показателей, планирование и организация
78266494;Финансовый аналитик;Финансовый аналитик;Екатеринбург;ГЛОБАЛТРАК МЕНЕДЖМЕНТ;;;2023-03-20;;;;
77067519;Финансовый аналитик;Финансовый аналитик;Екатеринбург;Брусника;;;2023-03-27;60000;;RUR;
78459111;Финансовый аналитик;Финансовый аналитик;Екатеринбург;МегаФон;;;2023-03-23;;;;
