id;spec;job_title;city;employer;schedule;skills;experience;published;salary_from;salary_to;currency
78825757;Бизнес-аналитик;Бизнес-аналитик;Москва;Правительство Москвы;;python, ms visio, ms powerpoint, разработка технических заданий, подготовка презентаций, подготовка отчетов, excel, аналитическое мышление, аналитические навыки, высшее образование;От 1 года до 3 лет;2023-04-03;;;
78641604;Бизнес-аналитик;Бизнес-аналитик (программы лояльности);Москва;Комус;;оптимизация бизнес-процессов, описание бизнес-процессов, hybris, sap crm, сбор и анализ информации;От 3 до 6 лет;2023-04-10;;;
78821073;Бизнес-аналитик;Бизнес-аналитик;Москва;Talent Pool;;;От 1 года до 3 лет;2023-04-03;;200000;RUR
77865752;Бизнес-аналитик;Бизнес-аналитик;Москва;РАСЧЕТНЫЕ РЕШЕНИЯ;;uml, bpmn, sql, xml, бизнес-анализ, xsd, xml/xslt, soap, rest;От 3 до 6 лет;2023-04-03;;;
78469169;Бизнес-аналитик;Бизнес-аналитик WMS склад;Москва;MUNZ GROUP;;wms;Более 6 лет;2023-04-10;;;
78376812;Бизнес-аналитик;Бизнес-аналитик (Отдел анализа и автоматизации продуктов и услуг);Москва;ПСБ (Промсвязьбанк);;;От 1 года до 3 лет;2023-04-16;;;
79406698;Бизнес-аналитик;Бизнес-аналитик данных / BI аналитик;Москва;Commonwealth Partnership;;английский язык, ms powerpoint, sql, ms sql, подготовка презентаций, power bi;От 1 года до 3 лет;2023-04-17;;;
76731884;Бизнес-аналитик;Системный аналитик (бизнес-карты);Москва;СБЕР;;;От 1 года до 3 лет;2023-04-18;;;
79058163;Бизнес-аналитик;Стажер бизнес-аналитик;Москва;Лига Цифровой Экономики;;bpmn, uml, системный анализ, умение анализировать, анализ;Нет опыта;2023-04-07;;;
79202766;Бизнес-аналитик;Бизнес-аналитик/Business analyst (Депозитарий);Москва;Иннотех, Группа компаний;;bpmn, scrum, agile project management, atlassian jira, idef, uml, бизнес-анализ, управление требованиями;От 3 до 6 лет;2023-04-12;;;
78629072;Бизнес-аналитик;Бизнес-аналитик производственных процессов;Москва;VSEMAYKI.RU;;agile project management, scrum, atlassian jira, project management, bussiness automation;От 1 года до 3 лет;2023-04-10;90000;;RUR
79337444;Бизнес-аналитик;Аналитик бизнес-процессов;Москва;Комус;;;От 1 года до 3 лет;2023-04-16;;;
79199651;Бизнес-аналитик;Бизнес-аналитик 1С (ЗУП);Москва;МИР ИНСТРУМЕНТА;;1с: предприятие 8, 1с: управление торговлей, erp-системы на базе 1с;От 1 года до 3 лет;2023-04-12;180000;;RUR
75638377;Бизнес-аналитик;Бизнес-аналитик (Страховые продукты);Москва;ОТП Банк, АО (OTP bank);;ms powerpoint, подготовка презентаций, бизнес-анализ, работа в команде, клиентоориентированность;От 3 до 6 лет;2023-04-10;;;
78885178;Бизнес-аналитик;Бизнес-аналитик на проекты;Москва;Медиа Бизнес Солюшенс;;;От 1 года до 3 лет;2023-04-10;;;
79504645;Бизнес-аналитик;Начинающий финансовый аналитик/бизнес-ассистент;Москва;GORA GROUP LLC;;деловая переписка, деловое общение, подготовка презентаций, финансовый анализ, бухгалтерский учет, аналитическое мышление, аналитика, грамотная устная и письменная речь;От 1 года до 3 лет;2023-04-19;;;
79087457;Бизнес-аналитик;Ведущий Системный/Бизнес аналитик;Москва;БЕТСИТИ;;bpmn, uml, sql, rest, api;От 3 до 6 лет;2023-04-10;;250000;RUR
78801641;Бизнес-аналитик;Бизнес-аналитик;Москва;МТС Банк;;;От 1 года до 3 лет;2023-04-02;;;
79039204;Бизнес-аналитик;Бизнес-аналитик / Главный бизнес-аналитик (BI);Москва;ПСБ (Промсвязьбанк);;базы данных, постановка задач разработчикам, ms power bi, business intelligence, sql, ms sql, подготовка презентаций, sap bi, business intelligence systems, бизнес-требования, sap business objects;От 1 года до 3 лет;2023-04-07;;;
